date,stadium,home_team,away_team,home_tries,home_penalties,home_conversions,home_drop_goals,away_tries,away_penalties,away_conversions,away_drop_goals
1997-06-27,Raratonga,Cook Islands,Fiji,1,0,1,0,8,1,5,0
1997-07-05,Nuku A'lofa,Tonga,Cook Islands,10,0,9,0,0,4,0,0
1997-10-04,Brussels,Belgium,Romania,2,2,1,0,13,0,9,0
1997-10-12,Tbilisi,Georgia,Croatia,3,4,1,0,2,1,1,0
1997-10-18,Copenhagen,Denmark,Georgia,1,1,0,0,2,3,0,0
1997-11-01,Brescia,Italy A,Denmark,16,0,11,0,0,1,0,0
1997-11-08,Andorra la Vella,Andorra,Spain,0,1,0,0,10,0,6,0
1997-11-30,Santander,Spain,Czech Republic,6,1,3,0,1,1,0,0
1998-03-28,Asuncion,Paraguay,Uruguay,0,1,0,0,6,0,5,1
1998-04-04,Bulawayo,Zimbabwe,Tunisia,5,3,3,1,0,3,0,0
1998-04-04,Lisbon,Portugal,Germany,3,3,3,0,0,2,0,0
1998-04-04,Montevideo,Uruguay,Chile,1,5,0,0,1,3,0,0
1998-04-11,L'Aquila,Italy A,Georgia,5,0,3,0,1,2,0,1
1998-04-18,Krasnoyarsk,Russia,Italy,2,2,1,0,5,5,4,0
1998-04-18,Prague,Czech Republic,Portugal,2,0,0,0,2,1,1,0
1998-04-18,Tunis,Tunisia,Namibia,3,1,1,0,3,0,1,0
1998-04-25,Bucharest,Romania,Netherlands,7,1,2,0,0,1,0,0
1998-04-26,Heidelburg,Germany,Spain,0,3,0,0,3,1,3,0
1998-05-02,Bucharest,Romania,Poland,12,0,7,0,1,2,1,0
1998-05-03,Penza,Russia,Denmark,6,3,3,0,0,3,0,0
1998-05-09,Elche,Spain,Portugal,2,7,1,0,3,1,2,0
1998-05-09,Windhoek,Namibia,Zimbabwe,5,1,2,0,3,1,1,2
1998-05-20,Tbilisi,Georgia,Russia,0,4,0,0,0,2,0,0
1998-05-30,Kharkov,Ukraine,Romania,2,1,2,0,5,2,4,0
1998-05-30,Lousa,Portugal,Andorra,9,0,4,0,1,2,0,0
1998-06-06,Makarska,Croatia,Italy A,2,5,1,0,3,6,3,0
1998-08-15,Buenos Aires,Argentina,United States of America,6,4,5,0,2,4,1,0
1998-08-15,Buenos Aires,Canada,Uruguay,4,4,3,0,2,1,1,0
1998-08-18,Buenos Aires,Canada,United States of America,3,4,2,0,2,0,2,0
1998-08-22,Buenos Aires,Argentina,Canada,5,7,4,0,1,7,1,0
1998-08-22,Buenos Aires,United States of America,Uruguay,2,3,1,0,1,3,1,0
1998-09-12,Casablanca,Ivory Coast,Namibia,1,1,1,0,4,0,1,0
1998-09-12,Casablanca,Morocco,Zimbabwe,2,1,1,0,0,3,0,0
1998-09-16,Casablanca,Ivory Coast,Zimbabwe,0,0,0,0,2,6,2,0
1998-09-16,Casablanca,Morocco,Namibia,1,1,0,0,1,4,0,0
1998-09-18,Sydney,Australia,Fiji,9,1,9,0,2,2,2,0
1998-09-18,Sydney,Samoa,Tonga,3,3,2,0,3,1,1,0
1998-09-19,Casablanca,Namibia,Zimbabwe,6,1,3,0,1,3,0,0
1998-09-22,Canberra,Australia,Tonga,12,0,7,0,0,0,0,0
1998-09-22,Canberra,Fiji,Samoa,2,4,2,0,2,2,1,0
1998-09-26,Brisbane,Australia,Samoa,3,2,2,0,2,1,0,0
1998-09-26,Brisbane,Fiji,Tonga,2,5,2,1,2,1,1,0
1998-10-24,Singapore,Chinese Taipei,Hong Kong,4,2,2,0,2,0,1,0
1998-10-24,Singapore,Japan,Korea,6,0,5,0,2,0,1,0
1998-10-27,Singapore,Chinese Taipei,Japan,0,2,0,0,20,0,17,0
1998-10-27,Singapore,Hong Kong,Korea,2,2,2,0,1,2,0,0
1998-10-31,Singapore,Hong Kong,Japan,1,0,1,0,7,0,6,0
1998-11-14,Huddersfield,England,Netherlands,16,0,15,0,0,0,0,0
1998-11-14,Lansdowne Road,Ireland,Georgia,10,0,10,0,0,0,0,0
1998-11-18,Lansdowne Road,Georgia,Romania,2,3,2,0,3,2,3,0
1998-11-18,Huddersfield,Italy,Netherlands,11,0,6,0,1,0,1,0
1998-11-22,Huddersfield,England,Italy,2,3,2,0,0,4,0,1
1998-11-28,Murrayfield,Scotland XV,Portugal,13,0,10,0,1,1,0,1
1998-12-02,Murrayfield,Portugal,Spain,2,1,2,0,0,6,0,1
1998-12-05,Murrayfield,Scotland XV,Spain,13,0,10,0,0,1,0,0
1999-03-06,Nuku A'lofa,Tonga,Georgia,4,3,4,0,0,2,0,0
1999-03-13,Montevideo,Uruguay,Portugal,7,1,4,0,0,3,0,0
1999-03-28,Tbilisi,Georgia,Tonga,4,2,1,0,5,0,1,0
1999-04-03,Lisbon,Portugal,Uruguay,3,1,3,0,3,4,3,0
1999-04-16,Nuku A'lofa,Tonga,Korea,9,1,5,0,4,0,3,0
1999-04-19,Montevideo,Uruguay,Morocco,2,2,1,0,0,0,0,1
1999-05-01,Casablanca,Morocco,Uruguay,2,3,1,0,0,6,0,0
1999-05-04,Seoul,Korea,Tonga,3,0,0,0,12,2,8,0
1997-01-18,Lansdowne Road,Ireland,France,0,5,0,0,4,2,3,0
1997-01-18,Murrayfield,Scotland,Wales,1,3,1,1,4,2,4,0
1997-02-01,Twickenham,England,Scotland,4,5,3,0,1,2,1,0
1997-02-01,Cardiff,Wales,Ireland,3,2,2,0,3,3,1,0
1997-02-15,Parc des Princes,France,Wales,4,1,2,0,3,1,2,0
1997-02-15,Lansdowne Road,Ireland,England,0,2,0,0,6,4,2,0
1997-03-01,Twickenham,England,France,1,4,0,1,2,2,2,1
1997-03-01,Murrayfield,Scotland,Ireland,5,1,5,0,1,1,1,0
1997-03-15,Parc des Princes,France,Scotland,4,6,3,1,2,2,2,0
1997-03-15,Cardiff,Wales,England,1,2,1,0,4,2,4,0
1997-07-19,Johannesburg,South Africa,New Zealand,2,4,2,2,4,3,3,0
1997-07-26,Melbourne,Australia,New Zealand,2,2,1,0,3,4,3,0
1997-08-02,Brisbane,Australia,South Africa,4,2,3,0,3,1,1,0
1997-08-09,Auckland,New Zealand,South Africa,7,4,4,0,5,0,5,0
1997-08-16,Dunedin,New Zealand,Australia,3,5,3,0,4,0,2,0
1997-08-23,Pretoria,South Africa,Australia,8,3,6,0,3,1,2,0
1997-10-18,Auch,Argentina,Romania,6,3,3,0,2,2,1,0
1997-10-18,Auch,France,Italy,2,6,1,0,1,3,1,1
1997-10-22,Lourdes,Argentina,Italy,2,2,1,0,0,6,0,0
1997-10-22,Lourdes,France,Romania,5,2,4,0,0,1,0,0
1997-10-26,Tarbes,France,Argentina,4,2,3,0,3,1,3,1
1997-10-26,Tarbes,Italy,Romania,6,5,5,0,4,2,3,0
1997-01-04,Lansdowne Road,Ireland,Italy,1,8,0,0,4,3,4,0
1997-01-11,Cardiff,Wales,United States of America,4,2,4,0,1,3,0,0
1997-05-31,Buenos Aires,Argentina,England,3,0,1,1,6,2,5,0
1997-06-07,Buenos Aires,Argentina,England,4,3,2,0,2,1,0,0
1997-07-12,Sydney,Australia,England,4,1,1,0,0,1,0,1
1997-05-24,Windhoek,Namibia,Tonga,1,3,0,0,2,2,2,0
1997-06-10,Cape Town,South Africa,Tonga,12,0,7,0,1,1,1,0
1997-11-16,Swansea,Wales,Tonga,6,4,2,0,2,0,1,0
1997-06-21,Wellington,New Zealand,Argentina,14,1,10,0,1,1,0,0
1997-06-28,Hamilton,New Zealand,Argentina,9,1,7,0,1,1,1,0
1997-06-21,Cape Town,South Africa,British and Irish Lions,2,2,0,0,2,5,0,0
1997-06-28,Durban,South Africa,British and Irish Lions,3,0,0,0,0,5,0,1
1997-07-05,Johannesburg,South Africa,British and Irish Lions,4,3,3,0,1,3,1,0
1997-06-14,North Shore City,New Zealand,Fiji,11,0,8,0,1,0,0,0
1997-06-01,Bucharest,Romania,France,2,2,2,0,9,0,3,0
1997-06-21,Sydney,Australia,France,2,5,2,0,2,1,1,0
1997-06-28,Brisbane,Australia,France,3,3,1,0,1,4,1,0
1997-06-14,Apia,Samoa,Ireland A,8,1,7,0,3,2,2,0
1997-07-05,Christchurch,New Zealand,Australia,4,2,2,0,1,2,1,0
1997-11-01,Buenos Aires,Argentina,Australia,0,5,0,0,1,6,0,0
1997-11-08,Buenos Aires,Argentina,Australia,2,2,1,0,2,2,0,0
1997-11-15,Twickenham,England,Australia,0,5,0,0,2,1,1,0
1997-11-22,Murrayfield,Scotland,Australia,1,1,0,0,5,2,3,0
1997-07-05,Wilmington,United States of America,Wales,2,2,2,0,4,2,2,0
1997-07-12,San Francisco,United States of America,Wales,2,3,2,0,4,2,1,0
1997-07-19,Markham,Canada,Wales,3,1,2,1,3,3,2,0
1997-11-29,Wembley,New Zealand,Wales,5,2,4,1,1,0,1,0
1997-08-30,Wrexham,Wales,Romania,11,1,6,0,2,3,1,0
1997-11-30,Lansdowne Road,Ireland,Canada,5,2,1,0,1,2,0,0
1997-11-15,Lansdowne Road,Ireland,New Zealand,2,1,1,0,7,6,5,0
1997-11-22,Manchester,England,New Zealand,1,1,0,0,3,2,2,0
1997-11-29,Wembley,New Zealand,Wales,5,2,4,1,1,0,1,0
1997-12-06,Twickenham,England,New Zealand,3,3,1,0,2,4,2,0
1997-11-08,Bologna,Italy,South Africa,3,4,2,0,9,1,7,0
1997-11-15,Lyon,France,South Africa,3,5,1,0,5,1,4,0
1997-11-22,Parc des Princes,France,South Africa,1,1,1,0,7,1,7,0
1997-11-29,Twickenham,England,South Africa,1,2,0,0,4,1,3,0
1997-12-06,Murrayfield,Scotland,South Africa,1,1,1,0,10,0,9,0
1997-12-20,Bologna,Italy,Ireland,3,6,2,0,1,5,1,0
1997-02-01,Twickenham,England,Scotland,4,5,3,0,1,2,1,0
1997-02-15,Lansdowne Road,Ireland,England,0,2,0,0,6,4,2,0
1997-03-01,Murrayfield,Scotland,Ireland,5,1,5,0,1,1,1,0
1997-06-21,Sydney,Australia,France,2,5,2,0,2,1,1,0
1997-06-28,Brisbane,Australia,France,3,3,1,0,1,4,1,0
1997-07-05,Christchurch,New Zealand,Australia,4,2,2,0,1,2,1,0
1997-07-26,Melbourne,Australia,New Zealand,2,2,1,0,3,4,3,0
1997-08-16,Dunedin,New Zealand,Australia,3,5,3,0,4,0,2,0
1997-07-12,Sydney,Australia,England,4,1,1,0,0,1,0,1
1997-11-15,Twickenham,England,Australia,0,5,0,0,2,1,1,0
1997-11-01,Buenos Aires,Argentina,Australia,0,5,0,0,1,6,0,0
1997-11-08,Buenos Aires,Argentina,Australia,2,2,1,0,2,2,0,0
1996-09-22,Prague,Czech Republic,Georgia,1,3,0,0,2,2,1,0
1996-10-20,Tbilisi,Georgia,Russia,3,2,1,2,1,5,0,0
1997-04-19,Lisbon,Portugal,Georgia,2,3,1,0,1,3,0,1
1997-05-10,Sopot,Poland,Georgia,2,5,2,0,2,3,2,0
1997-05-03,Hong Kong,Hong Kong,Japan,5,3,4,0,3,1,1,0
1997-05-10,Vancouver,Canada,United States of America,7,2,6,0,2,0,1,0
1997-05-17,Hong Kong,Hong Kong,United States of America,6,2,5,0,0,3,0,0
1997-05-18,Tokyo,Japan,Canada,4,2,3,0,3,3,2,1
1997-05-24,Hong Kong,Hong Kong,Canada,4,1,2,0,3,4,1,2
1997-05-25,Osaka,Japan,United States of America,2,0,1,0,3,1,1,0
1997-06-07,San Francisco,United States of America,Japan,9,0,3,0,4,1,3,0
1997-06-07,Vancouver,Canada,Hong Kong,1,4,0,0,1,3,1,0
1997-06-14,San Francisco,United States of America,Hong Kong,2,1,2,0,2,0,2,0
1997-06-14,Vancouver,Canada,Japan,6,2,3,0,3,1,0,0
1997-06-28,San Francisco,United States of America,Canada,1,2,0,0,2,4,0,0
1997-06-29,Tokyo,Japan,Hong Kong,3,2,1,0,5,2,5,0
1997-06-21,Suva,Fiji,Tonga,3,1,1,0,1,0,1,1
1997-07-05,Apia,Samoa,Fiji,2,4,2,0,2,1,2,0
1997-09-13,Corrientes,Argentina,Paraguay,12,0,9,0,0,0,0,0
1997-09-27,Montevideo,Uruguay,Argentina,2,1,2,0,8,1,5,1
1997-10-04,Mendoza,Argentina,Chile,7,1,6,0,1,1,1,0
1997-06-21,Harare,Zimbabwe,Italy A,6,4,5,0,6,1,3,0
1997-06-28,Bulawayo,Zimbabwe,Italy A,4,1,2,0,5,4,2,0
1997-06-21,Suva,Fiji,Tonga,3,1,1,0,1,0,1,1
1997-06-27,Raratonga,Cook Islands,Fiji,1,0,1,0,8,1,5,0
1997-07-05,Nuku A'lofa,Tonga,Cook Islands,10,0,9,0,0,4,0,0
1997-10-04,Brussels,Belgium,Romania,2,2,1,0,13,0,9,0
1997-10-12,Tbilisi,Georgia,Croatia,3,4,1,0,2,1,1,0
1997-10-18,Copenhagen,Denmark,Georgia,1,1,0,0,2,3,0,0
1997-11-01,Brescia,Italy A,Denmark,16,0,11,0,0,1,0,0
1997-11-08,Andorra la Vella,Andorra,Spain,0,1,0,0,10,0,6,0
1997-11-30,Santander,Spain,Czech Republic,6,1,3,0,1,1,0,0
1998-03-28,Asuncion,Paraguay,Uruguay,0,1,0,0,6,0,5,1
1998-04-04,Bulawayo,Zimbabwe,Tunisia,5,3,3,1,0,3,0,0
1998-04-04,Lisbon,Portugal,Germany,3,3,3,0,0,2,0,0
1998-04-04,Montevideo,Uruguay,Chile,1,5,0,0,1,3,0,0
1998-04-11,L'Aquila,Italy A,Georgia,5,0,3,0,1,2,0,1
1998-04-18,Krasnoyarsk,Russia,Italy,2,2,1,0,5,5,4,0
1998-04-18,Prague,Czech Republic,Portugal,2,0,0,0,2,1,1,0
1998-04-18,Tunis,Tunisia,Namibia,3,1,1,0,3,0,1,0
1998-04-25,Bucharest,Romania,Netherlands,7,1,2,0,0,1,0,0
1998-04-26,Heidelburg,Germany,Spain,0,3,0,0,3,1,3,0
1998-05-02,Bucharest,Romania,Poland,12,0,7,0,1,2,1,0
1998-05-03,Penza,Russia,Denmark,6,3,3,0,0,3,0,0
1998-05-09,Elche,Spain,Portugal,2,7,1,0,3,1,2,0
1998-05-09,Windhoek,Namibia,Zimbabwe,5,1,2,0,3,1,1,2
1998-05-20,Tbilisi,Georgia,Russia,0,4,0,0,0,2,0,0
1998-05-30,Kharkov,Ukraine,Romania,2,1,2,0,5,2,4,0
1998-05-30,Lousa,Portugal,Andorra,9,0,4,0,1,2,0,0
1998-06-06,Makarska,Croatia,Italy A,2,5,1,0,3,6,3,0
1998-08-15,Buenos Aires,Argentina,United States of America,6,4,5,0,2,4,1,0
1998-08-15,Buenos Aires,Canada,Uruguay,4,4,3,0,2,1,1,0
1998-08-18,Buenos Aires,Canada,United States of America,3,4,2,0,2,0,2,0
1998-08-22,Buenos Aires,Argentina,Canada,5,7,4,0,1,7,1,0
1998-08-22,Buenos Aires,United States of America,Uruguay,2,3,1,0,1,3,1,0
1998-09-12,Casablanca,Ivory Coast,Namibia,1,1,1,0,4,0,1,0
1998-09-12,Casablanca,Morocco,Zimbabwe,2,1,1,0,0,3,0,0
1998-09-16,Casablanca,Ivory Coast,Zimbabwe,0,0,0,0,2,6,2,0
1998-09-16,Casablanca,Morocco,Namibia,1,1,0,0,1,4,0,0
1998-09-18,Sydney,Australia,Fiji,9,1,9,0,2,2,2,0
1998-09-18,Sydney,Samoa,Tonga,3,3,2,0,3,1,1,0
1998-09-19,Casablanca,Namibia,Zimbabwe,6,1,3,0,1,3,0,0
1998-09-22,Canberra,Australia,Tonga,12,0,7,0,0,0,0,0
1998-09-22,Canberra,Fiji,Samoa,2,4,2,0,2,2,1,0
1998-09-26,Brisbane,Australia,Samoa,3,2,2,0,2,1,0,0
1998-09-26,Brisbane,Fiji,Tonga,2,5,2,1,2,1,1,0
1998-10-24,Singapore,Chinese Taipei,Hong Kong,4,2,2,0,2,0,1,0
1998-10-24,Singapore,Japan,Korea,6,0,5,0,2,0,1,0
1998-10-27,Singapore,Chinese Taipei,Japan,0,2,0,0,20,0,17,0
1998-10-27,Singapore,Hong Kong,Korea,2,2,2,0,1,2,0,0
1998-10-31,Singapore,Hong Kong,Japan,1,0,1,0,7,0,6,0
1998-11-14,Huddersfield,England,Netherlands,16,0,15,0,0,0,0,0
1998-11-14,Lansdowne Road,Ireland,Georgia,10,0,10,0,0,0,0,0
1998-11-18,Lansdowne Road,Georgia,Romania,2,3,2,0,3,2,3,0
1998-11-18,Huddersfield,Italy,Netherlands,11,0,6,0,1,0,1,0
1998-11-22,Huddersfield,England,Italy,2,3,2,0,0,4,0,1
1998-11-28,Murrayfield,Scotland XV,Portugal,13,0,10,0,1,1,0,1
1998-12-02,Murrayfield,Portugal,Spain,2,1,2,0,0,6,0,1
1998-12-05,Murrayfield,Scotland XV,Spain,13,0,10,0,0,1,0,0
1999-03-06,Nuku A'lofa,Tonga,Georgia,4,3,4,0,0,2,0,0
1999-03-13,Montevideo,Uruguay,Portugal,7,1,4,0,0,3,0,0
1999-03-28,Tbilisi,Georgia,Tonga,4,2,1,0,5,0,1,0
1999-04-03,Lisbon,Portugal,Uruguay,3,1,3,0,3,4,3,0
1999-04-16,Nuku A'lofa,Tonga,Korea,9,1,5,0,4,0,3,0
1999-04-19,Montevideo,Uruguay,Morocco,2,2,1,0,0,0,0,1
1999-05-01,Casablanca,Morocco,Uruguay,2,3,1,0,0,6,0,0
1999-05-04,Seoul,Korea,Tonga,3,0,0,0,12,2,8,0
1998-02-07,Stade de France,France,England,2,2,1,2,1,4,0,0
1998-02-07,Lansdowne Road,Ireland,Scotland,1,2,1,1,1,4,0,0
1998-02-21,Twickenham,England,Wales,8,2,7,0,4,0,3,0
1998-02-21,Murrayfield,Scotland,France,1,3,1,0,7,2,5,0
1998-03-07,Stade de France,France,Ireland,2,2,1,0,1,3,1,0
1998-03-07,Wembley,Scotland,Wales,2,1,0,0,1,4,1,0
1998-03-21,Lansdowne Road,Ireland,Wales,2,3,1,0,3,3,3,0
1998-03-22,Murrayfield,Scotland,England,2,2,2,0,4,1,4,1
1998-04-04,Twickenham,England,Ireland,4,3,3,0,2,1,2,0
1998-04-05,Wembley,France,Wales,7,2,5,0,0,0,0,0
1998-07-11,Melbourne,Australia,New Zealand,2,4,1,0,2,2,0,0
1998-07-18,Perth,Australia,South Africa,2,1,0,0,1,3,0,0
1998-07-25,Wellington,New Zealand,South Africa,0,1,0,0,1,2,1,0
1998-08-01,Christchurch,New Zealand,Australia,2,3,2,0,4,1,2,0
1998-08-15,Durban,South Africa,New Zealand,4,0,2,0,2,3,2,0
1998-08-22,Johannesburg,South Africa,Australia,2,5,2,0,0,5,0,0
1998-01-24,Treviso,Italy,Scotland,1,6,1,0,2,3,1,0
1998-05-26,Suva,Fiji,Scotland,7,2,5,0,2,4,2,0
1998-06-13,Sydney,Australia,Scotland,5,4,4,0,0,1,0,0
1998-06-20,Brisbane,Australia,Scotland,4,3,2,0,1,2,0,0
1998-02-07,Llanelli,Wales,Italy,2,3,2,0,2,2,2,0
1998-06-06,Brisbane,Australia,England,11,3,6,0,0,0,0,0
1998-06-20,Dunedin,New Zealand,England,9,3,5,0,3,1,2,0
1998-06-27,Auckland,New Zealand,England,6,0,5,0,1,1,1,0
1998-07-04,Cape Town,South Africa,England,2,2,1,0,0,0,0,0
1998-06-13,Buenos Aires,Argentina,France,2,2,1,0,5,0,5,0
1998-06-20,Buenos Aires,Argentina,France,0,3,0,1,5,2,3,0
1998-06-27,Suva,Fiji,France,0,3,0,0,4,1,4,1
1998-06-13,Bloemfontein,South Africa,Ireland,5,2,3,0,1,2,1,0
1998-06-20,Pretoria,South Africa,Ireland,5,0,4,0,0,0,0,0
1998-06-06,Harare,Zimbabwe,Wales,1,2,0,0,8,1,3,0
